Indicator,Group,State,Subgroup,Phase,"Time Period","Time Period Label","Time Period Start Date","Time Period End Date",Value,LowCI,HighCI,"Confidence Interval","Quartile range","Quartile number","Suppression Flag"
"Ever experienced long COVID, as a percentage of all adults","National Estimate","United States","United States",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,14,13.5,14.5,"13.5 - 14.5",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","18 - 29 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,17.8,15.9,19.8,"15.9 - 19.8",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","30 - 39 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,15.2,14.1,16.2,"14.1 - 16.2",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","40 - 49 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,16.9,15.7,18.3,"15.7 - 18.3",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","50 - 59 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,15.3,14.1,16.7,"14.1 - 16.7",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","60 - 69 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,10.9,9.8,12,"9.8 - 12.0",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","70 - 79 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,7.1,5.9,8.5,"5.9 - 8.5",,,
"Ever experienced long COVID, as a percentage of all adults","By Age","United States","80 years and above",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,4.2,3.4,5.3,"3.4 - 5.3",,,
"Ever experienced long COVID, as a percentage of all adults","By Sex","United States",Male,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,10.5,9.8,11.2,"9.8 - 11.2",,,
"Ever experienced long COVID, as a percentage of all adults","By Sex","United States",Female,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,17.3,16.5,18.1,"16.5 - 18.1",,,
"Ever experienced long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender male",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,10.2,9.6,10.9,"9.6 - 10.9",,,
"Ever experienced long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender female",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,17.3,16.5,18.1,"16.5 - 18.1",,,
"Ever experienced long COVID, as a percentage of all adults","By Gender identity","United States",Transgender,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,18.3,12.3,25.6,"12.3 - 25.6",,,
"Ever experienced long COVID, as a percentage of all adults","By Sexual orientation","United States","Gay or lesbian",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,13.7,10.4,17.7,"10.4 - 17.7",,,
"Ever experienced long COVID, as a percentage of all adults","By Sexual orientation","United States",Straight,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,13.6,13.1,14.1,"13.1 - 14.1",,,
"Ever experienced long COVID, as a percentage of all adults","By Sexual orientation","United States",Bisexual,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,19.2,15.9,22.8,"15.9 - 22.8",,,
"Ever experienced long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,18.4,16.7,20.1,"16.7 - 20.1",,,
"Ever experienced long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,13.1,12.5,13.6,"12.5 - 13.6",,,
"Ever experienced long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,13.9,12.2,15.7,"12.2 - 15.7",,,
"Ever experienced long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,9.3,7.5,11.3,"7.5 - 11.3",,,
"Ever experienced long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,15.7,13.3,18.3,"13.3 - 18.3",,,
