County,Avg_LOS,Avg_Charges,Avg_Costs,Hospitalizations,Median_Income,Health_Insurance_Coverage,Education_Total,New_Positives,Total_Tests,Positive_Rate,SVI_Composite,SVI_Econ,SVI_Household,SVI_Minority,SVI_Housing,Total_COVID_Deaths,Patients Currently Hospitalized,Patients in ICU till APR25,Total Staffed Beds,Population_2024,Hosp_per_100k,Deaths_per_100k,Charges_to_Costs_Ratio,Uninsured_Rate,High_Risk
Albany County,5.448734136234136,49185.9016168381,14621.29034037174,185392,73810,310934,211245,50389,581863,8.659942288820565,0.4754,0.1639,0.2951,0.7869,0.8361,436791,83952,14952,515106,319964.0,57941.51842082234,136512.54516133064,3.3639918551530226,-310834,1
Allegany County,3.3539143783046224,13569.48794154699,5514.392352793786,5863,54375,46170,30019,6567,74997,8.75635025401016,0.5246,0.6885,0.3443,0.0328,0.6721,114532,4842,763,28496,47299.0,12395.610900864713,242144.65422101945,2.460740381426107,-46070,1
Bronx County,6.04008992209946,78567.49480538678,25267.189098821284,480681,43726,1447001,959432,322178,4531249,7.110136741547418,1.0,1.0,0.9672,1.0,0.9508,5163866,277572,56196,1476804,1384724.0,34713.12694804163,372916.6245403416,3.1094671630510717,-1446901,0
Broome County,5.72400240676968,31855.216418790016,13101.679937344752,78133,53982,195882,131719,36605,487592,7.507301186237673,0.9016,0.8033,0.8525,0.6066,0.918,428473,56309,7515,297075,196397.0,39783.194244311264,218166.77444156478,2.4313841103682114,-195782,0
Cattaraugus County,4.867555255609921,16611.41160636054,6536.147245494783,17783,53537,76414,53033,12234,121505,10.068721451792108,0.8689,0.8033,0.918,0.377,0.6393,153679,14047,2104,67472,75475.0,23561.444186816825,203615.76681020207,2.5414683884011953,-76314,1
Cayuga County,4.563072297389641,22335.86976643512,6433.267454060462,14640,59602,72904,55644,12441,171093,7.271483929792569,0.5902,0.5738,0.459,0.4262,0.7377,116366,8041,880,49831,74567.0,19633.349873268337,156055.62782464092,3.4719324085208787,-72804,0
Chautauqua County,5.136710497952145,15755.544763151334,9653.172049139745,23219,50408,125889,89632,18027,191720,9.402774880033382,0.9016,0.8525,0.9836,0.4918,0.6066,208622,14201,2295,85861,124105.0,18709.157568188228,168101.20462511582,1.6321624314730214,-125789,1
Chemung County,5.209192546583851,26103.82569604676,10367.696551793631,28184,58175,81281,59612,16665,222643,7.4850770066878365,0.7705,0.7869,0.9016,0.5246,0.4426,175578,15083,2800,84298,81115.0,34745.73136904395,216455.64938667326,2.5178037923506498,-81181,0
Chenango County,3.216643159379408,26810.704249571183,8251.205812955814,3546,55690,46831,34016,7580,104217,7.273285548423002,0.5082,0.6066,0.8525,0.082,0.3607,92884,2074,606,10228,45776.0,7746.417336595596,202909.8217406501,3.2493074172836365,-46731,0
Clinton County,6.236151708707734,45271.31108788309,15663.71559769999,27742,62470,75486,55169,16880,177790,9.494347263625626,0.3607,0.3115,0.1475,0.3115,0.8852,66455,19875,1599,79858,77871.0,35625.58590489399,85339.85694289273,2.890202570744491,-75386,1
Columbia County,7.4305612453912335,32305.61929069768,14309.489860465115,9778,73065,59960,47055,9334,90788,10.281094417764464,0.3279,0.3443,0.6885,0.541,0.082,126372,12569,1473,48647,60299.0,16215.857642746978,209575.61485265094,2.2576359888239663,-59860,1
Cortland County,4.06785952222328,15720.114183928308,7720.321308808442,10509,62163,46499,29478,8582,111873,7.671198591259731,0.3115,0.5082,0.0164,0.2459,0.7049,86963,5903,1168,32639,45945.0,22873.00032647731,189276.30862988357,2.0361994734587747,-46399,0
Delaware County,5.038190954773869,20232.107288401254,13132.882147335422,995,52757,44223,33007,7011,82301,8.518730027581682,0.5738,0.7213,0.7705,0.2459,0.2459,55552,2680,0,23232,44191.0,2251.5896902084132,125708.85474417868,1.54056870848462,-44123,1
Dutchess County,5.345162787998375,52745.2194998884,15497.194592894755,103398,87112,287557,208945,51687,601683,8.590403917012779,0.459,0.3115,0.2459,0.8197,0.5574,541807,46911,8181,296571,299963.0,34470.25133099749,180624.61036861214,3.403533406238013,-287457,1
Erie County,5.78356256269564,39645.53693643212,16065.723672123784,331269,62578,940342,670059,170284,1566878,10.867725502559868,0.4918,0.2131,0.7049,0.7541,0.459,2159935,170893,32630,1089130,950602.0,34848.338210944225,227217.59474522463,2.4677093759070763,-940242,1
Essex County,5.180580762250454,13190.205361781076,11678.762077922078,1102,61563,35217,28937,5851,79728,7.338701585390327,0.2131,0.2295,0.459,0.1803,0.2951,46563,1517,0,11810,36744.0,2999.1291095144784,126722.7302416721,1.1294181073109009,-35117,0
Franklin County,4.223396686655148,26939.357638213183,13502.314263817245,9842,55279,43856,34305,8417,109926,7.656969233848225,0.7377,0.7377,0.377,0.5902,0.8689,30942,4142,819,51281,47086.0,20902.178991632332,65713.80028033811,1.995165947988915,-43756,0
Fulton County,3.565600882028666,21342.47353940939,4700.490714285715,7256,55240,52809,38825,10841,100822,10.752613516891154,0.3607,0.5574,0.6557,0.3279,0.1148,125333,4183,1249,18355,52073.0,13934.284562057112,240687.11232308488,4.5404777578956645,-52709,1
Genesee County,4.871477966600456,16756.919098417067,7773.822402707275,13594,63734,57872,41830,10134,112101,9.040062086868092,0.0984,0.082,0.2787,0.2951,0.1967,143632,9183,1389,57051,57604.0,23599.05562113742,249343.79556975208,2.1555572317398686,-57772,1
Herkimer County,3.8109719737626713,10049.95264409881,5892.737926940639,1677,60561,60008,43007,11214,139089,8.062463602441602,0.2459,0.1803,0.5902,0.0984,0.3115,140870,2180,0,12071,59585.0,2814.466728203407,236418.56171855333,1.7054810121712798,-59908,0
Jefferson County,4.545811151583076,21336.196321022067,9398.85806774064,32133,58271,103851,74808,19589,214336,9.139388623469692,0.8033,0.7705,0.5574,0.6393,0.7869,97932,11606,1339,82400,113140.0,28401.095987272405,86558.24642036414,2.2700838939417034,-103751,1
Kings County,5.974193957835552,65769.63822586315,23487.755527670102,583524,67753,2697648,1876692,602230,10630582,5.665070830552834,0.9672,0.9836,0.8033,0.9672,0.8033,8379611,433836,71074,2058870,2617631.0,22292.064847948393,320121.934680633,2.800167012483685,-2697548,0
Lewis County,3.1645645645645644,22626.438911242603,11077.159360946744,3330,60049,26402,18551,3997,44758,8.930247106662497,0.1311,0.4098,0.377,0.0,0.0164,40173,2896,357,20642,26570.0,12532.93187805796,151196.83853970646,2.042621052380415,-26302,1
Livingston County,4.063146997929606,13609.47613785558,3493.932400576963,6763,64467,60007,42037,9158,104598,8.755425533949024,0.082,0.0984,0.0328,0.3279,0.377,86474,5133,1099,16850,61561.0,10985.85143191306,140468.80330079107,3.8951744274182887,-59907,1
Madison County,3.4870073997590776,18239.59298530352,9619.2726911315,11622,63312,67912,46541,11203,144534,7.751117384144907,0.0164,0.0492,0.0656,0.2295,0.3115,103417,5672,826,28194,67072.0,17327.64790076336,154188.03673664122,1.8961509431081556,-67812,0
Monroe County,6.276818757921419,35526.605715834434,14770.07212856066,316104,66317,750135,525462,114867,1422550,8.074724965730553,0.6557,0.459,0.8852,0.8033,0.4918,1301712,252330,38745,1180634,752202.0,42023.81807014605,173053.51488031138,2.4053102386099514,-750035,0
Montgomery County,5.09910071942446,21279.86134801762,9784.72940473194,11124,53533,48794,34244,9641,91622,10.52258191264107,0.9508,0.9344,1.0,0.6721,0.541,154929,9551,2000,54509,49648.0,22405.736384144377,312054.8662584596,2.1748032539077253,-48694,1
Nassau County,5.334432995818682,96491.14319264864,20179.94818234575,538571,126576,1382274,970356,347658,3795213,9.160434473638238,0.1803,0.0656,0.3607,0.918,0.1803,3688857,360168,62151,1407732,1392438.0,38678.27508298395,264920.73614767764,4.781535726492255,-1382174,1
Niagara County,6.596727557233732,18257.36118249671,10787.06275153404,29404,60834,210778,152677,37195,352478,10.5524316411237,0.4262,0.2787,0.8361,0.5738,0.2787,448837,13579,3542,110236,209570.0,14030.63415565205,214170.44424297372,1.6925238689188407,-210678,1
Oneida County,5.096430175123484,38358.98700909756,11034.808272700757,71287,61733,224752,160555,42390,609070,6.959791157009867,0.8197,0.4262,0.9344,0.6393,0.9016,626590,43830,7037,257139,228347.0,31218.715376159966,274402.5540077163,3.4761806513661555,-224652,0
Onondaga County,5.58672138974585,52570.24918284457,17686.838435470672,217935,66012,469638,325273,95034,1065095,8.922584370408273,0.6885,0.4754,0.7869,0.7049,0.7705,847289,90037,18970,608225,469812.0,46387.70401777732,180346.3938766996,2.9722807371506135,-469538,1
Ontario County,5.2993749248707775,18412.229492115133,8413.274518315675,33287,70694,111124,79559,17912,209587,8.546331594993964,0.1148,0.0164,0.5738,0.459,0.2295,140456,22791,4759,123821,113012.0,29454.394223622272,124284.1468162673,2.188473637943438,-111024,1
Orange County,5.1921547765707246,59103.25650851751,15169.416145697567,107155,85640,389172,254625,86328,1130416,7.636834581251504,0.7869,0.7049,0.7541,0.8852,0.5738,851432,74273,11512,338918,411767.0,26023.212156389414,206775.19082393686,3.8962116894182968,-389072,0
Orleans County,4.293299620733249,11184.546917431191,7181.535100917431,791,54882,38049,29710,6569,70219,9.35501787265555,0.7213,0.8852,0.7213,0.5082,0.3115,102827,929,0,16378,39686.0,1993.1461976515648,259101.44635387792,1.5574033629665587,-37949,1
Oswego County,4.711856068592311,16422.47935077214,8293.170432124789,14233,61983,117235,80360,24363,230472,10.570915338956576,0.6721,0.8361,0.5082,0.1311,0.7377,140367,6884,1605,49939,118305.0,12030.76793034952,118648.40877393179,1.9802413908144592,-117135,1
Otsego County,5.307426866042839,26376.328951848893,15154.982773413898,32183,60523,58223,39686,9234,124155,7.437477346864806,0.2787,0.3607,0.1311,0.3607,0.4262,66973,11726,1673,95110,60524.0,53173.94752494878,110655.27724539026,1.7404393885633702,-58123,0
Putnam County,4.83441301943435,29686.891819082204,13333.55009351964,12659,111617,97569,70537,19993,227105,8.803416921688207,0.0328,0.0328,0.1148,0.7213,0.0656,115119,6624,1303,49687,98409.0,12863.660844028493,116980.15425418406,2.226480690503469,-97469,1
Queens County,5.55062384230944,62935.36511894615,17071.96934923638,515425,75886,2378283,1730502,572732,7422725,7.715926428636384,0.8852,0.9508,0.3279,0.9836,0.7213,7978200,376382,63953,1442321,2316841.0,22246.88703281753,344356.82034287206,3.6864736476205784,-2378183,0
Rensselaer County,5.51055559517866,27793.541942186577,8569.286971952819,28048,76731,159320,113700,28186,345904,8.148503631065267,0.2951,0.1148,0.4098,0.623,0.4754,204744,16810,2650,100022,160749.0,17448.32005175771,127368.75501558329,3.2433902649257202,-159220,0
